Time,HHMMSS,.075mm,.125mm,.175mm,.225mm,.275mm,.325mm,.375mm,.4375mm,.5125mm,.5875mm,.6625mm,.75mm,.85mm,.95mm,1.1mm,1.3mm,1.5mm,1.7mm,1.9mm
28515.16,75515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28516.16,75516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28517.16,75517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28518.16,75518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28519.16,75519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28520.16,75520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28521.16,75521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28522.16,75522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28523.16,75523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28524.16,75524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28525.16,75525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28526.16,75526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28527.16,75527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28528.16,75528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28529.16,75529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28530.16,75530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28531.16,75531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28532.16,75532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28533.16,75533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28534.16,75534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28535.16,75535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28536.16,75536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28537.16,75537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28538.16,75538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28539.16,75539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28540.16,75540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28541.16,75541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28542.16,75542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28543.16,75543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28544.16,75544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28545.16,75545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28546.16,75546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28547.16,75547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28548.16,75548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28549.16,75549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28550.16,75550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28551.16,75551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28552.16,75552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28553.16,75553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28554.16,75554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28555.16,75555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28556.16,75556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28557.16,75557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28558.16,75558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28559.16,75559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
